tconst	startYear	primaryTitle	averageRating	numVotes
tt3501632	2017	Thor: Ragnarok	7.9	859654
tt0060196	1966	The Good, the Bad and the Ugly	8.8	859003
tt0083658	1982	Blade Runner	8.1	856628
tt2084970	2014	The Imitation Game	8.0	855705
tt0480249	2007	I Am Legend	7.2	852663
tt0892769	2010	How to Train Your Dragon	8.1	852089
tt1211837	2016	Doctor Strange	7.5	846781
tt1205489	2008	Gran Torino	8.1	841903
tt0097576	1989	Indiana Jones and the Last Crusade	8.2	841633
tt0317248	2002	City of God	8.6	840879
tt0378194	2004	Kill Bill: Vol. 2	8.0	840175
tt0770828	2013	Man of Steel	7.1	836563
tt0093058	1987	Full Metal Jacket	8.2	825150
tt2543164	2016	Arrival	7.9	822174
tt8946378	2019	Knives Out	7.9	821403
tt0211915	2001	Amélie	8.3	820804
tt0090605	1986	Aliens	8.4	811922
tt0401792	2005	Sin City	8.0	809223
tt0383574	2006	Pirates of the Caribbean: Dead Man's Chest	7.4	800433
tt3896198	2017	Guardians of the Galaxy Vol. 2	7.6	798545
tt0121765	2002	Star Wars: Episode II - Attack of the Clones	6.6	793874
tt1285016	2010	The Social Network	7.8	793602
tt2911666	2014	John Wick	7.5	787797
tt0144084	2000	American Psycho	7.6	785523
tt1745960	2022	Top Gun: Maverick	8.2	784029
tt0118799	1997	Life Is Beautiful	8.6	781959
tt0126029	2001	Shrek	7.9	776933
tt1631867	2014	Edge of Tomorrow	7.9	776814
tt5013056	2017	Dunkirk	7.8	776523
tt2975590	2016	Batman v Superman: Dawn of Justice	6.4	773102
tt1877832	2014	X-Men: Days of Future Past	7.9	772167
tt2024544	2013	12 Years a Slave	8.1	766918
tt5052448	2017	Get Out	7.8	764622
tt0113277	1995	Heat	8.3	762498
tt2250912	2017	Spider-Man: Homecoming	7.4	761121
tt1045658	2012	Silver Linings Playbook	7.7	760921
tt0116282	1996	Fargo	8.1	759404
tt0062622	1968	2001: A Space Odyssey	8.3	756532
tt0816711	2013	World War Z	7.0	755922
tt0054215	1960	Psycho	8.5	755889
tt2802144	2014	Kingsman: The Secret Service	7.7	755392
tt1981115	2013	Thor: The Dark World	6.7	754426
tt0478970	2015	Ant-Man	7.2	754279
tt1074638	2012	Skyfall	7.8	752741
tt0117951	1996	Trainspotting	8.1	751833
tt1951264	2013	The Hunger Games: Catching Fire	7.5	750689
tt0316654	2004	Spider-Man 2	7.5	750051
tt1270798	2011	X-Men: First Class	7.7	748589
tt0405159	2004	Million Dollar Baby	8.1	748510
